SBABranchID	SBADistrictOffice	CongressionalDistrict
287	LOS ANGELES DISTRICT OFFICE 	30
288	RICHMOND DISTRICT OFFICE 	04
289	NEW JERSEY DISTRICT OFFICE 	03
290	ST. LOUIS DISTRICT OFFICE 	02
291	NEW HAMPSHIRE DISTRICT OFFICE 	02
292	BUFFALO DISTRICT OFFICE 	23
293	DALLAS / FT WORTH DISTRICT OFFICE 	04
294	KENTUCKY DISTRICT OFFICE 	01
295	NEW JERSEY DISTRICT OFFICE 	12
296	NEBRASKA DISTRICT OFFICE 	03
297	PHILADELPHIA DISTRICT OFFICE 	01
298	TENNESSEE DISTRICT OFFICE 	02
299	KANSAS CITY DISTRICT OFFICE 	02
300	PITTSBURGH DISTRICT OFFICE 	18
301	WASHINGTON DISTRICT OFFICE 	05
302	NEW JERSEY DISTRICT OFFICE 	10
303	ARIZONA DISTRICT OFFICE 	09
304	WICHITA DISTRICT OFFICE 	04
305	SEATTLE DISTRICT OFFICE 	01
306	ILLINOIS DISTRICT OFFICE 	09
307	ILLINOIS DISTRICT OFFICE 	06
308	SYRACUSE DISTRICT OFFICE 	24
309	PHILADELPHIA DISTRICT OFFICE 	08
310	NORTH FLORIDA DISTRICT OFFICE 	11
311	ALASKA DISTRICT OFFICE 	00
312	SOUTH FLORIDA DISTRICT OFFICE 	21
313	HOUSTON DISTRICT OFFICE 	02
314	FRESNO DISTRICT OFFICE 	08
315	NORTH CAROLINA DISTRICT OFFICE 	03
316	NORTH CAROLINA DISTRICT OFFICE 	08
317	ILLINOIS DISTRICT OFFICE 	16
318	CLEVELAND DISTRICT OFFICE 	09
319	DES MOINES DISTRICT OFFICE 	04
320	GEORGIA DISTRICT OFFICE 	06
321	SACRAMENTO DISTRICT OFFICE 	07
322	WASHINGTON DISTRICT OFFICE 	10
323	NEW YORK DISTRICT OFFICE 	09
324	INDIANA DISTRICT OFFICE 	02
325	SEATTLE DISTRICT OFFICE 	07
326	COLUMBUS DISTRICT OFFICE 	10
327	NEW YORK DISTRICT OFFICE 	16
328	NEW JERSEY DISTRICT OFFICE 	11
329	GEORGIA DISTRICT OFFICE 	04
330	FRESNO DISTRICT OFFICE 	20
331	SANTA ANA DISTRICT OFFICE 	08
332	DALLAS / FT WORTH DISTRICT OFFICE 	05
333	MASSACHUSETTS DISTRICT OFFICE 	03
334	TENNESSEE DISTRICT OFFICE 	05
335	INDIANA DISTRICT OFFICE 	09
336	ARIZONA DISTRICT OFFICE 	05
337	WEST VIRGINIA DISTRICT OFFICE 	02
338	COLUMBUS DISTRICT OFFICE 	05
339	LOS ANGELES DISTRICT OFFICE 	37
340	NORTH FLORIDA DISTRICT OFFICE 	15
341	TENNESSEE DISTRICT OFFICE 	03
342	HOUSTON DISTRICT OFFICE 	29
343	ALABAMA DISTRICT OFFICE 	01
344	WASHINGTON DISTRICT OFFICE 	11
345	NORTH FLORIDA DISTRICT OFFICE 	04
346	LOUISIANA DISTRICT OFFICE 	06
347	LOS ANGELES DISTRICT OFFICE 	43
348	BALTIMORE DISTRICT OFFICE 	01
349	ALABAMA DISTRICT OFFICE 	03
350	WISCONSIN DISTRICT OFFICE 	04
351	HAWAII DISTRICT OFFICE 	00
352	COLUMBUS DISTRICT OFFICE 	03
353	SAN ANTONIO DISTRICT OFFICE 	23
354	SOUTH FLORIDA DISTRICT OFFICE 	14
