BankID	BankName	BankStreet	BankCity	BankState	BankZip
9638	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
9639	Glacier Bank	202 Main St	KALISPELL	MT	59901
9640	HarborOne Bank	770 Oak St	BROCKTON	MA	02301
9641	Enterprise Bank and Trust Company	222 Merrimack St	LOWELL	MA	01852
9642	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
9643	Meredith Village Savings Bank	24 State Rte 25	MEREDITH	NH	03253
9644	Colony Bank	115 S Grant St	FITZGERALD	GA	31750
9645	Fifth Third Bank	38 Fountain Sq Plz	CINCINNATI	OH	45263
9646	"Bank of America, National Association"	"100 N Tryon St, Ste 170"	CHARLOTTE	NC	28202
9647	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
9648	Central Valley Community Bank	"7100 N Financial Dr, Ste 101"	FRESNO	CA	93720
9649	"Community Bank, National Association"	45-49 Court St	CANTON	NY	13617
9650	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9651	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9652	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9653	United Bank of El Paso del Norte	125 Mesa Hills Dr	EL PASO	TX	79912
9654	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9655	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9656	"Bremer Bank, National Association"	372 St. Peter St	SAINT PAUL	MN	55102
9657	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9658	Bank Five Nine	155 W Wisconsin Ave	OCONOMOWOC	WI	53066
9659	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
9660	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
9661	Old National Bank	One Main St	EVANSVILLE	IN	47708
9662	"INTRUST Bank, National Association"	105 N Main St	WICHITA	KS	67202
9663	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
9664	BancorpSouth Bank	201 S Spring St	TUPELO	MS	38804
9665	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9666	BancorpSouth Bank	201 S Spring St	TUPELO	MS	38804
9667	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9668	First National Bank	3717 N Brady St	DAVENPORT	IA	52806
9669	"INTRUST Bank, National Association"	105 N Main St	WICHITA	KS	67202
9670	Western Bank of Clovis	901 Pile St	CLOVIS	NM	88101
9671	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9672	BancorpSouth Bank	201 S Spring St	TUPELO	MS	38804
9673	Regions Bank	1900 5th Ave North	BIRMINGHAM	AL	35203
